YEAR,DOY,T2M,RH2M,PRECTOTCORR
2021,72,25.8,47.15,0
2021,73,26.32,47.62,0
2021,74,26.88,43.54,0
2021,75,27.36,42.99,0
2021,76,27.08,41.91,0
2021,77,26.4,46.43,0
2021,78,25.36,42.88,0
2021,79,26.47,35.73,0
2021,80,27.12,37.22,0
2021,81,27.75,38.74,0
2021,82,27.95,43.52,0
2021,83,28.24,44.68,0
2021,84,28.33,40.25,0.17
2021,85,28.78,41.18,0
2021,86,27.55,48.34,0
2021,87,27.8,46.93,0
2021,88,29.03,41.68,0
2021,89,30.1,37.6,0
2021,90,32.11,30.15,0
2021,91,30.86,28.14,0
2021,92,30.02,28.61,0
2021,93,31.36,32.7,0.01
2021,94,32.06,29.88,0.69
2021,95,31.34,37.73,0.36
2021,96,29.68,43.71,0.01
2021,97,29.75,37.45,0
2021,98,29.06,32.9,0
2021,99,28.78,39.51,0
2021,100,28.9,45.97,0
2021,101,29.01,49.12,0.01
2021,102,28.78,52.7,4.19
2021,103,28.4,52.76,0.75
2021,104,27.49,59.89,6.27
2021,105,25.08,75.62,12.02
2021,106,26.85,63.57,0.63
2021,107,27.62,60.99,0.13
2021,108,27.97,58.73,0.01
2021,109,27.82,61.01,0.78
2021,110,27.59,61.8,2.53
2021,111,27,67.11,5.45
2021,112,28.05,60.02,0.84
2021,113,26.73,66.93,26.49
2021,114,27.06,67.1,5.5
2021,115,27.44,64.54,1.68
2021,116,26.47,67.59,0.15
2021,117,26.75,64.39,0
2021,118,27.63,58.75,0
2021,119,28.18,56.81,0.03
2021,120,27.05,64.56,1.34
2021,121,27.14,67.41,3.03
2021,122,26.96,65.93,0.18
2021,123,27.18,65.61,0.85
2021,124,27.95,63.8,0.15
2021,125,28.24,60.95,0.12
2021,126,28.59,59.39,0.03
2021,127,28.15,61.67,2.57
2021,128,28.12,60.72,0.06
2021,129,28.72,60.07,0.04
2021,130,28.43,63.48,0.14
2021,131,27.64,68.79,0.18
2021,132,27.28,73.18,10.98
2021,133,26.9,75.24,6.83
2021,134,27.77,65.32,2.61
2021,135,25.3,76.38,1.5
2021,136,26.09,74.68,0.34
2021,137,27.53,67.7,0.49
2021,138,27,69.49,0.67
2021,139,25.71,83.08,165.75
2021,140,24.65,82.79,55.07
2021,141,23.99,82.55,10.14
2021,142,24.63,79.59,3.67
2021,143,25.01,78.01,1.21
2021,144,24.96,76.07,0.03
2021,145,23.54,85.31,11.48
2021,146,24.03,76.72,1.36
2021,147,24.83,76.19,0
2021,148,25.41,73.53,0
2021,149,25.18,74.31,1.23
2021,150,24.83,76.35,1.7
2021,151,25.48,75.27,0.08
2021,152,25.83,77.75,3.86
2021,153,25.89,77.13,3.08
2021,154,25.36,81.58,11.81
2021,155,24.19,88.14,11.62
2021,156,22.83,84.21,8.46
2021,157,24.56,73.83,0.1
2021,158,24.25,77.81,0.44
2021,159,25.32,73.72,0.16
2021,160,24.53,79.16,1.52
2021,161,24.87,75.25,0.02
2021,162,23.66,79.71,0
2021,163,23.32,76.92,1.73
2021,164,23.83,71.59,0.54
2021,165,23.18,76.2,0.71
2021,166,23.11,79.17,0.66
2021,167,24.44,76.44,0.98
2021,168,24.37,77.98,0.51
2021,169,23.69,78.74,0.01
2021,170,23.88,80.63,0
2021,171,24.12,79.27,0
2021,172,24.81,76.57,0.05
2021,173,24.92,76.36,0.4
2021,174,24.79,78.3,6.04
2021,175,24.61,76.37,1.02
2021,176,24,75.74,0
2021,177,24.03,76.58,1.14
2021,178,23.07,74.01,0.8
2021,179,23.79,71.86,0.61
2021,180,25.77,72.83,0.53
2021,181,25.95,78.1,1.47
2021,182,24.12,88.58,32.34
2021,183,24.16,84.31,2.29
2021,184,23.94,82.84,5.36
2021,185,24.23,81.65,31.32
2021,186,24.62,79.71,2.17
2021,187,24.74,81.73,0.4
2021,188,24.37,83.1,1.15
2021,189,24.05,83.99,8.63
2021,190,23.98,83.64,8.23
2021,191,22.6,82.36,1.55
2021,192,22.35,80.36,0.01
2021,193,22.66,80.99,0.04
2021,194,23.95,80.08,1.77
2021,195,23.59,82.57,13.04
2021,196,23.01,84.58,7.64
2021,197,24.09,81.86,7.02
2021,198,23.75,84.58,17.73
2021,199,23.21,88.08,10.95
2021,200,23.98,81.62,1.9
2021,201,23.94,79.97,0.47
2021,202,23.79,80.28,0.88
2021,203,23.26,82.16,1.23
2021,204,24.14,78.03,0.48
2021,205,24.47,79.87,2.29
2021,206,23.33,84.03,19.7
2021,207,23.58,82.53,5.49
2021,208,23.73,81.28,0.58
2021,209,24.21,77.66,0.02
2021,210,23.78,80.38,0.01
2021,211,23.55,81.28,0
2021,212,23.99,79.6,0.06
2021,213,24.06,78.63,0.01
2021,214,23.85,76.31,0.01
2021,215,24.13,77.86,0.1
2021,216,24.31,78.36,0.09
2021,217,24.26,78.2,1.78
2021,218,24.73,79.03,6.02
2021,219,24.5,81.88,3.82
2021,220,24.76,79.9,1.26
2021,221,24.7,79.89,6.18
2021,222,23.59,82.71,10.18
2021,223,24.04,81.66,0.86
2021,224,23.14,84.65,0.8
2021,225,23.84,81.7,11.16
2021,226,23.36,82.55,0.91
2021,227,23.25,80.21,0.01
2021,228,23.84,79.04,2.14
2021,229,24.27,77.03,0.58
2021,230,23.41,77.52,2.77
2021,231,22.97,75.34,0.64
2021,232,22.95,78.23,10.13
2021,233,23.14,80.51,5.23
2021,234,23.57,81.82,2.83
2021,235,23.88,82.11,0.95
2021,236,24.85,77.06,2.89
2021,237,24.92,77.09,0.93
2021,238,24.57,81.56,2.91
2021,239,24.06,84.95,17.01
2021,240,23.48,82.57,6.17
2021,241,23.19,79.66,2.02
2021,242,23.07,79.07,0.2
2021,243,24.39,76.24,0.41
2021,244,24.13,78.99,5.55
2021,245,23.01,87.12,26.03
2021,246,23.54,79.49,8.92
2021,247,22.78,85.95,5.17
2021,248,23.44,81.44,7.86
2021,249,22.73,79.6,7.05
2021,250,22.67,81.15,0.41
2021,251,22.88,84.97,3.71
2021,252,23.46,81.53,0.63
2021,253,23.52,82.61,0
2021,254,23.09,84.82,0.69
2021,255,23.72,81.97,0.31
2021,256,23.62,82.61,0.04
2021,257,24.27,81.17,0
2021,258,24.44,81.15,0.3
2021,259,24.28,81.64,0.14
2021,260,24.44,79.05,0.1
2021,261,25.25,74.84,0.11
2021,262,24.02,82.79,14.62
2021,263,24.06,84.47,15.16
2021,264,23.79,83.28,3.01
2021,265,24.14,81.35,4.09
2021,266,24.53,80.92,8.02
2021,267,24.56,81.15,2.43
2021,268,24.08,85.05,8.51
2021,269,22.92,85.98,1.47
2021,270,23.57,81.98,2.41
2021,271,22.62,83.19,2.07
2021,272,22.99,78.85,2.24
2021,273,24.08,76.22,3.26
2021,274,24.45,82.01,1.59
2021,275,23.91,86.05,6.04
2021,276,23.68,84,10.51
2021,277,23.8,84.52,7.02
2021,278,23.73,86.42,17.99
2021,279,23.27,87.09,2.21
2021,280,24.81,81,1.55
2021,281,24.36,86.54,5.35
2021,282,23.55,88.78,4.55
2021,283,23.5,86.56,7.43
2021,284,23.73,85.42,14.28
2021,285,22.96,87.74,10.24
2021,286,22.5,87,3.57
2021,287,23.87,83.3,12.34
2021,288,24.03,86.91,18.1
2021,289,24.03,88.66,10.81
2021,290,22.77,92.24,2.89
2021,291,23.57,88.14,1.33
2021,292,23,86.43,5.61
2021,293,23.56,86.25,6.38
2021,294,23.23,89.67,9.44
2021,295,23.43,88.27,2.39
2021,296,23.12,87.92,5.51
2021,297,23.49,81.64,4.88
2021,298,22.95,86.37,0.92
2021,299,23.26,85.24,1.01
2021,300,22.97,83.87,0.38
2021,301,22.64,83.57,0.17
2021,302,22.07,86.52,2.57
2021,303,22.45,87.86,2.79
2021,304,22.32,89.11,1.33
2021,305,21.96,91.18,3.44
2021,306,21.77,90.24,8.19
2021,307,22.23,88.88,1.8
2021,308,22.52,88.91,22.01
2021,309,22.83,86.73,10.2
2021,310,22.93,86.72,1.88
2021,311,22.42,87.54,6.99
2021,312,21.48,94.13,3.95
2021,313,21.23,90.18,1.35
2021,314,20.72,86.73,3.31
2021,315,19.76,89.84,17.65
2021,316,21.18,91.01,16.87
2021,317,22.98,85.14,6.13
2021,318,22.84,88.68,4.74
2021,319,23.36,88.84,20.03
2021,320,22.62,91.85,4.4
2021,321,22.62,91.62,7.75
2021,322,20.41,91.74,43.21
2021,323,22.51,92.68,17.4
2021,324,22.54,92.3,4.56
2021,325,22.17,81.85,3.23
2021,326,22.13,86.18,1.38
2021,327,22.73,89.47,0.69
2021,328,22.58,86.74,1.46
2021,329,21.56,89.75,2.21
2021,330,21.55,88.52,4.54
2021,331,21.07,90.79,1.43
2021,332,20.72,91.99,3.83
2021,333,20.56,92.24,4.32
2021,334,21.22,90.92,1.48
2021,335,22.13,89.37,0.56
2021,336,22.35,87.19,0.22
2021,337,21.59,85.02,0.28
2021,338,21.75,79.15,0.52
2021,339,23.17,81.4,0.55
2021,340,22.62,87.33,1.15
2021,341,22.37,87.04,0.25
2021,342,21.39,84.03,0.1
2021,343,22.5,86.39,2.58
2021,344,21.17,85.59,0.16
2021,345,21.32,88.41,0.35
2021,346,21.28,88.14,0.76
2021,347,21.35,89,1.44
2021,348,20.67,88.48,0.77
2021,349,20.76,85.2,0.07
2021,350,20.36,84.62,0
2021,351,20.31,82.64,0
2021,352,19.25,80.53,0
2021,353,17.91,79.8,0
2021,354,17.93,82.9,0
2021,355,18.75,77.86,0
2021,356,18.52,80.09,0
2021,357,18.67,77.81,0
2021,358,18.23,74.25,0
2021,359,19.01,78.65,0
2021,360,19.06,82.54,0
2021,361,19.09,82.89,0
2021,362,19.14,83.58,0
2021,363,19.49,83.45,0
2021,364,20.02,85.01,1.03
2021,365,21.27,87.33,2.53
2022,1,21.26,87.29,2.32
2022,2,20.71,84.99,0.26
2022,3,20.1,80.54,0
2022,4,20.33,82.85,0
2022,5,20.37,79.31,0
2022,6,20.33,82.63,0
2022,7,20.79,83.21,0
2022,8,21.32,83.86,0
2022,9,21.28,82.66,0
2022,10,20.57,79.66,0
2022,11,20.94,79.93,0
2022,12,21.54,81.38,0
2022,13,21.99,81.39,0
2022,14,22.48,79.72,0
2022,15,22.94,75.96,0
2022,16,22.15,81.11,0.38
2022,17,21.82,79.83,0.18
2022,18,21.14,78.06,0
2022,19,20.95,74.62,0
2022,20,20.79,67.69,0
2022,21,21.73,65.67,0
2022,22,21.44,67.38,0
2022,23,20.8,70.92,0.01
2022,24,21.07,65.15,0
2022,25,21.66,75.46,0.12
2022,26,22.33,78.78,0.15
2022,27,22,75.32,0.28
2022,28,21.39,75.47,0.27
2022,29,21.88,76.37,0.02
2022,30,23.18,75.19,0
2022,31,23.95,72.5,0
2022,32,23.57,72.62,0
2022,33,22.56,67.82,0
2022,34,22,69.21,0
2022,35,23.08,63.4,0
2022,36,22.91,69,0
2022,37,23.26,72.5,0
2022,38,22.98,70.79,0
2022,39,22.91,67.76,0
2022,40,22.34,66.3,0
2022,41,21.81,58.92,0
2022,42,22.14,61.26,0
2022,43,22.8,64.16,0
2022,44,22.29,63.97,0
2022,45,22.64,64.9,0
2022,46,23.12,65.71,0
2022,47,23.42,62.38,0
2022,48,23.46,60.84,0
2022,49,23.27,62.39,0
2022,50,23.37,61.44,0
2022,51,24.29,58.64,0
2022,52,25.26,61.38,0
2022,53,25.49,57.56,0
2022,54,23.95,59.86,0
2022,55,23.02,56.88,0
2022,56,23.12,52.39,0
2022,57,22.38,58.05,0
2022,58,24.15,60.02,0
2022,59,23.67,53.75,0
2022,60,23.99,51.39,0
2022,61,23.51,42.56,0
2022,62,23.45,44.23,0
2022,63,24.21,39.13,0
2022,64,24.79,49.04,0
2022,65,24.93,53.14,0.01
2022,66,24.03,57.05,0.39
2022,67,25.64,51.41,0.02
2022,68,26.37,47.12,0
2022,69,26.36,41.21,0
2022,70,26,37.14,0
2022,71,26.16,34.64,0
2022,72,25.9,35.95,0
2022,73,27.02,38.78,0
2022,74,27.75,37.64,0
2022,75,27.53,35.48,0
2022,76,28.05,30.61,0
2022,77,28.38,33.34,0
2022,78,29.27,34.78,0.01
2022,79,27.38,56.22,1.05
2022,80,27.75,58.74,8.17
2022,81,27.23,64.62,6.16
2022,82,27.84,59.55,0.94
2022,83,27.82,60.07,0.35
2022,84,27.85,55.92,0.29
2022,85,28.35,55.25,0.23
2022,86,28.98,52.64,0.08
2022,87,29.04,51.29,0
2022,88,29.7,47.44,0.02
2022,89,30.21,43.58,0.14
2022,90,30.46,41.14,0
2022,91,30.08,39.99,0.14
2022,92,29.07,44.14,0.21
2022,93,29.13,45.18,0
2022,94,29.14,47.59,0
2022,95,28.5,46.61,0
2022,96,28.77,44.44,0.12
2022,97,28.54,48.79,2.82
2022,98,28.6,53.6,1.93
2022,99,28.94,52.65,0.29
2022,100,29.19,45.21,0.01
2022,101,28.34,48.79,0.01
2022,102,29.48,47.67,0.13
2022,103,27.83,58.35,3.38
2022,104,25.22,69.39,17.83
2022,105,28.32,58.25,0.18
2022,106,29.15,58.46,2.61
2022,107,27.79,66.86,14.83
2022,108,27.4,65.1,10.11
2022,109,27.33,65.43,1.64
2022,110,28.37,58.47,0.03
2022,111,27.68,62.55,0
2022,112,27.06,65.05,0.07
2022,113,25.98,69.89,5.03
2022,114,28.03,55.5,0.08
2022,115,27.81,57.2,0
2022,116,28.69,51.12,0
2022,117,28.7,55.3,0
2022,118,28.95,55.04,0
2022,119,30.17,50.24,0.1
2022,120,30.05,55.58,0.35
2022,121,30.31,56.77,7.43
2022,122,29.43,62.61,6.38
2022,123,28.3,65.74,5.79
2022,124,28.88,62.58,1.44
2022,125,27.46,66.87,1.71
2022,126,27.77,63.37,4.01
2022,127,28.33,63.83,14.17
2022,128,28.31,64.63,1.77
2022,129,27.99,66.76,4.66
2022,130,27.2,68.11,3.66
2022,131,26.07,71.13,4.91
2022,132,24.56,77.42,4.53
2022,133,25.94,73.18,1.79
2022,134,25.83,74.84,4.74
2022,135,24.17,87.27,26.03
2022,136,25.56,81.81,22
2022,137,25.98,72.43,42.64
2022,138,25.44,79.12,9.36
2022,139,23.56,85.79,1.41
2022,140,22.9,79.21,0.59
2022,141,24.32,75.53,0.86
2022,142,24.86,76.69,0.04
2022,143,26.02,75.71,0
2022,144,26.88,72.98,0.01
2022,145,26.95,71.48,0.63
2022,146,25.63,76.27,0.49
2022,147,25.35,75.37,0.19
2022,148,25.37,74.21,0.06
2022,149,25.08,69.78,0.12
2022,150,25.61,72.8,6.04
2022,151,24.63,78.53,4.33
2022,152,24.52,77,0.14
2022,153,25.73,73.09,0.05
2022,154,25.42,74.37,2.56
2022,155,25.19,75.8,3.91
2022,156,26.06,73.62,5.09
2022,157,24.78,79.19,6.23
2022,158,25.36,75.89,1.29
2022,159,24.98,75.74,0.06
2022,160,25.59,71.57,0.05
2022,161,25.39,72.4,0.09
2022,162,25.26,69.3,0.1
2022,163,24.43,69.73,0.89
2022,164,24.71,73.32,1.28
2022,165,25.12,76.55,8.65
2022,166,23.79,81.83,24.45
2022,167,23.52,83.7,10.96
2022,168,22.79,82.4,34.89
2022,169,22.91,85.8,3.5
2022,170,23.83,84.98,11.84
2022,171,23.84,78.38,4.79
2022,172,23.85,81.28,2.03
2022,173,23.52,82.79,0.52
2022,174,24.05,79.09,0.04
2022,175,23.16,81.56,0.04
2022,176,23.56,78.82,0.35
2022,177,23.76,78.38,0.02
2022,178,24.37,76.16,0
2022,179,24.7,76.46,0.05
2022,180,24.85,78.39,2.31
2022,181,24.19,81.03,3.56
2022,182,23.83,82.75,1.67
2022,183,23.67,82.46,0.59
2022,184,24.18,80.4,0.09
2022,185,23.74,79.09,0.56
2022,186,23.25,81.23,0.85
2022,187,23.44,79.53,0.96
2022,188,23.03,82.02,5.05
2022,189,23.42,78.87,1.56
2022,190,23.32,83.02,3.39
2022,191,23.95,77.94,0.95
2022,192,24.13,77.51,1.78
2022,193,23.78,77,0.7
2022,194,23.86,75.51,1.02
2022,195,23.5,74.44,0.52
2022,196,24.04,75.53,0.17
2022,197,24.32,79.5,14.07
2022,198,24.1,78.69,2.94
2022,199,23.17,80.77,5.3
2022,200,23.74,80.64,0.48
2022,201,25.01,79.14,20.85
2022,202,24.15,83.45,10.76
2022,203,23.29,85.72,14.69
2022,204,23.57,81.2,0.1
2022,205,23.48,81.1,0.03
2022,206,23.99,79.48,1.87
2022,207,23.61,81.15,7.18
2022,208,23.41,85.66,8.63
2022,209,24.47,79.25,1.62
2022,210,24.08,78.46,6.77
2022,211,25.16,74.43,11.82
2022,212,24.46,84.31,12.33
2022,213,24.38,84.17,31.18
2022,214,24.28,83.04,15.03
2022,215,22.66,85.71,23.3
2022,216,22.48,89.69,14.81
2022,217,23.33,83.21,2.94
2022,218,22.99,83.23,2.87
2022,219,22.9,84.76,2.91
2022,220,23.15,83.75,1.34
2022,221,23.26,79.68,0.52
2022,222,22.81,80.28,0.16
2022,223,23.33,81.19,0.36
2022,224,23.55,81.04,0.11
2022,225,22.82,82.24,0
2022,226,23.72,78.33,0
2022,227,24.43,78.32,0
2022,228,25.58,72.9,0
2022,229,24.86,79.35,0.37
2022,230,23.81,84.89,153.05
2022,231,23.95,83.59,29.2
2022,232,23.53,83.91,0.01
2022,233,23.69,84.49,5.24
2022,234,23.71,84.54,2.73
2022,235,23.83,83.38,1.62
2022,236,23.21,85.48,7.54
2022,237,23.07,85.38,18.04
2022,238,22.79,89.28,36.54
2022,239,22.67,89.28,14.81
2022,240,23.22,86.27,17.18
2022,241,23.38,89.83,26.06
2022,242,23.98,87.8,1.4
2022,243,22.88,90.96,4.66
2022,244,23.44,84.41,3.65
2022,245,23.66,85.72,5.8
2022,246,24.91,82.8,5.17
2022,247,23.97,89.67,34.2
2022,248,24.28,86.79,18.75
2022,249,23.59,84.98,21.97
2022,250,22.97,88.5,9
2022,251,22.74,88.74,4.5
2022,252,23.09,88.89,0.39
2022,253,23.03,87.18,1.63
2022,254,22.48,87.95,0.1
2022,255,22.71,86.01,0
2022,256,23.11,87.03,1.51
2022,257,23.4,86.59,3.64
2022,258,22.58,87.45,0.46
2022,259,23.16,86.52,0.01
2022,260,22.96,86.93,0.04
2022,261,23.49,84.74,0.19
2022,262,23.21,86.63,0.02
2022,263,22.32,82.17,0
2022,264,22.89,83.98,0.02
2022,265,22.92,81.8,0
2022,266,21.81,85.69,0
2022,267,23.14,83.74,1.67
2022,268,23.73,81.25,1.99
2022,269,24,84.91,2.21
2022,270,22.28,88.53,1.51
2022,271,23.33,84.33,1.39
2022,272,22.56,86.88,1.06
2022,273,21.93,89.45,7.22
2022,274,22.06,87.55,3.95
2022,275,22.44,85.26,0.5
2022,276,22.74,85.83,0.01
2022,277,22.62,88.63,0.05
2022,278,22.71,88.96,11.53
2022,279,22.81,84.26,0.5
2022,280,22.9,84.72,0.27
2022,281,22,86.21,2.58
2022,282,22.98,87.94,10.38
2022,283,23.77,88.84,25.54
2022,284,23.54,88.98,7.53
2022,285,23.89,86.65,3.25
2022,286,23.92,86.85,15.44
2022,287,24.14,85.15,9.44
2022,288,23.74,87.35,19.26
2022,289,23.84,87.94,20.93
2022,290,23.92,89.19,6.75
2022,291,22.84,90.77,6.7
2022,292,22.93,86.88,17.76
2022,293,23.6,85.55,15.61
2022,294,23.07,87.43,2.12
2022,295,23.04,86.27,1.1
2022,296,22.25,83.85,0.02
2022,297,20.28,77.24,0
2022,298,20.14,71.15,0
2022,299,20.7,70.04,0
2022,300,20.5,76.34,0.02
2022,301,21.89,85.68,0.9
2022,302,22.53,87.59,2.73
2022,303,22.5,86.17,0.3
2022,304,21.37,87.9,0.01
2022,305,21.32,91.26,9.63
2022,306,20.9,88.71,6.59
2022,307,21.13,85.49,6.95
2022,308,21.31,87.08,3.41
2022,309,21.34,84.12,1.32
2022,310,21.34,88.73,0.76
2022,311,21.21,82.77,0.08
2022,312,21.98,87.23,0
2022,313,22.39,83.97,0
2022,314,22.32,83.98,1.92
2022,315,20.71,89.59,13.67
2022,316,21,92.12,15.46
2022,317,21.39,89.64,3.7
2022,318,21.62,88.34,1.06
2022,319,22.01,88.16,0.86
2022,320,21.67,86.26,0
2022,321,19.89,77.97,0
2022,322,18.8,74.11,0
2022,323,18.86,78.76,0
2022,324,18.46,75.85,0
2022,325,18.25,83.45,0.01
2022,326,20.97,87.92,1.73
2022,327,22.08,87.47,7.29
2022,328,22.2,88.38,3.19
2022,329,22.03,86.89,0.81
2022,330,22.14,86.12,0.13
2022,331,22.57,85.19,0.38
2022,332,22.85,85.97,0.49
2022,333,22.24,85.1,0.28
2022,334,19.83,79.66,0.01
2022,335,21.44,88.22,0.89
2022,336,22.44,86.19,0.38
2022,337,22.22,85.99,0.06
2022,338,21.77,87.92,0.15
2022,339,21.32,87.62,0.28
2022,340,21.45,84.79,0
2022,341,19.95,80.78,0
2022,342,18.16,78.37,0.14
2022,343,18.25,84.4,3.53
2022,344,19.69,92.85,26.52
2022,345,21.24,93.61,9.05
2022,346,21.82,91.57,21.9
2022,347,21.81,90.06,9.26
2022,348,21.44,87.45,1.24
2022,349,20.75,80.51,0.04
2022,350,19.79,76.48,0
2022,351,20.43,84.22,0
2022,352,21.18,86.92,0
2022,353,19.02,83.34,0
2022,354,19.87,82.64,0
2022,355,19.36,75.77,0
2022,356,18.66,76.52,0
2022,357,20.12,84.01,0
2022,358,21.31,83.28,0.01
2022,359,21.87,87.56,6.28
2022,360,21.78,88,1.57
2022,361,21.71,88.04,0.86
2022,362,22,86.41,0.1
2022,363,21.42,82.75,0
2022,364,20.13,78.85,0
2022,365,19.67,72.87,0
2023,1,19.08,76.93,0
2023,2,19.1,81.43,0
2023,3,19.5,81.67,0
2023,4,19.82,81.44,0
2023,5,19.42,80.76,0
2023,6,19.46,82.32,0
2023,7,19.97,81.67,0
2023,8,20.25,80.55,0
2023,9,19.06,72.77,0
2023,10,17.4,75.53,0
2023,11,18.01,71.83,0
2023,12,18.68,66.12,0
2023,13,19.06,70.93,0
2023,14,18.67,68.87,0
2023,15,18.61,69.82,0
2023,16,19.07,69.25,0
2023,17,18.76,72.18,0
2023,18,18.87,74.05,0
2023,19,18.92,70.75,0
2023,20,19.07,78.78,0
2023,21,20.22,75.92,0
2023,22,19.78,71.3,0
2023,23,20.93,78.9,0.11
2023,24,21.69,77.11,0.44
2023,25,20.51,72.93,0.05
2023,26,20.04,71.71,0
2023,27,19.74,68.34,0
2023,28,19.3,65.98,0
2023,29,19.97,69.9,0
2023,30,21.75,76.14,0
2023,31,22.17,69.38,0
2023,32,22.4,65.36,0
2023,33,22.05,64.31,0
2023,34,22.82,68.67,0.05
2023,35,23.17,66.18,0.97
2023,36,22.97,60.9,0
2023,37,22.19,64.22,0
2023,38,22.01,63.42,0
2023,39,22.68,63.25,0
2023,40,22.5,62.05,0
2023,41,22.72,61.37,0
2023,42,22.48,57.67,0
2023,43,23.23,52.58,0
2023,44,22.71,50.74,0
2023,45,22.43,54.52,0
2023,46,22.64,52.65,0
2023,47,22.39,55.84,0
2023,48,22.09,58.34,0
2023,49,22.22,59.74,0
2023,50,22.74,59.42,0
2023,51,23.05,54.63,0
2023,52,23.28,52.04,0
2023,53,23.2,52.67,0
2023,54,22.05,53.61,0
2023,55,22.52,49.51,0
2023,56,23.18,43.62,0
2023,57,23.02,46.12,0
2023,58,22.15,51.13,0
2023,59,22.64,54.66,0
2023,60,24.89,59.06,0
2023,61,23.07,47.35,0
2023,62,22.84,46.49,0
2023,63,23.46,41.82,0
2023,64,24.05,39.37,0
2023,65,23.88,40.02,0
2023,66,24.1,41.01,0
2023,67,24.42,45.48,0
2023,68,24.15,46.91,0
2023,69,24.68,45.25,0
2023,70,25.21,47.6,0
2023,71,25.18,50.44,0
2023,72,26.04,50.58,0
2023,73,26.65,42.63,0
2023,74,27.24,45.9,0
2023,75,27.1,55.93,0.2
2023,76,25.49,66.75,10.91
2023,77,25.67,69.28,5.94
2023,78,26.23,64.96,4.69
2023,79,26.3,58.66,1.43
2023,80,26.28,44.07,0.01
2023,81,26.08,45.72,0
2023,82,28.13,47.16,0.66
2023,83,27.47,58.4,2.73
2023,84,26.39,67.99,3.95
2023,85,27,63.07,1.14
2023,86,27.2,60.83,0.58
2023,87,28.71,51.43,0.17
2023,88,28.5,55.01,1.41
2023,89,28.58,52.38,0.66
2023,90,29.11,46.23,0
2023,91,28.54,50.83,0.55
2023,92,28.56,53.65,0.78
2023,93,28.88,49.33,0.46
2023,94,27.24,61.65,5.75
2023,95,27.88,58.49,0.73
2023,96,28.27,50.52,0.09
2023,97,27.86,50.93,0
2023,98,27.6,49.59,0
2023,99,27.91,46.11,0
2023,100,28.27,48.02,0
2023,101,28.37,36.96,0
2023,102,27.89,33.03,0
2023,103,29.4,25.77,0
2023,104,28.69,28.39,0
2023,105,29.48,28.4,0
2023,106,28.68,33.93,0
2023,107,29.06,32.01,0
2023,108,29.39,35.42,0
2023,109,29.81,35.53,0
2023,110,31.24,36.12,0
2023,111,31.72,38.24,0.26
2023,112,30.76,45.71,3.06
2023,113,29.33,54.04,2.45
2023,114,28.3,55.34,0.6
2023,115,28.14,52.98,1.56
2023,116,28.29,54.12,0.04
2023,117,28.94,51.56,0.01
2023,118,29.61,46.94,0.03
2023,119,28.54,57.93,9.3
2023,120,27.52,65.55,3.06
2023,121,25.04,78.08,17.3
2023,122,25.88,73.96,6.14
2023,123,25.76,74.18,1.46
2023,124,25.64,73.07,7.15
2023,125,23.93,81.14,30.33
2023,126,23.86,84.48,6.84
